id;nome;destaque;descricao;imagem;;;;;;;;;;;;;;
;;;;;];[;"""";,;;"[""./icons/React/React-original.svg"",""https://github.com/portfolio-projetos-dev/assets/raw/main/images/react.svg""]";;;;;;;;
;;;;;];[;"""";,;;"[""./icons/Vue.js/Vue.js-original.svg"",""https://github.com/portfolio-projetos-dev/assets/raw/main/images/vue.svg""]";;;;;;;;
;;;;;];[;"""";,;;"[""./icons/PostgreSQL/PostgreSQL-original.svg"",""https://github.com/portfolio-projetos-dev/assets/raw/main/images/postgresql.svg""]";;;;;;;;
;;;;;];[;"""";,;;"[""./icons/Docker/Docker-original.svg"",""https://github.com/portfolio-projetos-dev/assets/raw/main/images/docker.svg""]";;;;;;;;
;;;;;];[;"""";,;;"[""./icons/React Native/React Native-original.svg"",""https://github.com/portfolio-projetos-dev/assets/raw/main/images/react.svg""]";;;;;;;;
;;;;;];[;"""";,;;"[""./icons/Next.js/Next.js-original.svg"",""https://github.com/portfolio-projetos-dev/assets/raw/main/images/next.svg""]";;;;;;;;
;;;;;];[;"""";,;;"[""./icons/Prisma/Prisma-original.svg"",""https://github.com/portfolio-projetos-dev/assets/raw/main/images/prisma.svg""]";;;;;;;;
;;;;;];[;"""";,;;"[""./icons/Supabase/Supabase-original.svg"",""https://github.com/portfolio-projetos-dev/assets/raw/main/images/supabase.svg""]";;;;;;;;
;;;;;];[;"""";,;;"[""./icons/Tailwind CSS/Tailwind CSS-original.svg"",""https://github.com/portfolio-projetos-dev/assets/raw/main/images/tailwind.svg""]";;;;;;;;
;;;;;];[;"""";,;;"[""./icons/PHP/PHP-original.svg"",""https://github.com/portfolio-projetos-dev/assets/raw/main/images/php.svg""]";;;;;;;;
;;;;;];[;"""";,;;"[""./icons/OpenAI/OpenAI-original.svg"",""https://github.com/portfolio-projetos-dev/assets/raw/main/images/openai.svg""]";;;;;;;;
;;;;;];[;"""";,;;"[""./icons/Vite/Vite-original.svg"",""https://vite.dev/logo.svg""]";;;;;;;;
;;;;;];[;"""";,;;"[""./icons/ESLint/ESLint-original.svg"",""https://github.com/IgorBarcelo/ReactIgnite/blob/master/public/eslint.png""]";;;;;;;;
;;;;;];[;"""";,;;"[""./icons/C#/C#-original.svg"",""https://w7.pngwing.com/pngs/240/85/png-transparent-c.png""]";;;;;;;;
;;;;;];[;"""";,;;"[""./icons/MySQL/MySQL-original.svg"",""https://www.citypng.com/public/uploads/preview/hd-mysql-logo-transparent-background-701751694771788209ydqoapx.png""]";;;;;;;;
